,District,Democratic,Republican,Year,State,,,,,,,,,,,,,,,,,,,,,
,11th,"226,128","215,405",2020,MI,,,,,,,,,,,,,,,,,,,,,
,12th,"254,957","117,719",2020,MI,,,,,,,,,,,,,,,,,,,,,
,13th,"223,205","53,311",2020,MI,,,,,,,,,,,,,,,,,,,,,
,14th,"271,370","62,664",2020,MI,,,,,,,,,,,,,,,,,,,,,
,,"2,688,527","2,617,881",2020,MI,,,,,,,,,,,,,,,,,,,,,
,,"2,734,568","2,642,233",2020,MI,,,,,,,,,,,,,,,,,,,,,
,,"2,804,040","2,649,852",2020,MI,,,,,,,,,,,,,,,,,,,,,
,1st,0,"179,234",2020,MN,,,,,,,,,,,,,,,,,,,,,
,2d,"204,534","194,954",2020,MN,,,,,,,,,,,,,,,,,,,,,
,3d,"246,666","196,625",2020,MN,,,,,,,,,,,,,,,,,,,,,
,4th,"245,813","112,730",2020,MN,,,,,,,,,,,,,,,,,,,,,
,5th,"255,924","102,878",2020,MN,,,,,,,,,,,,,,,,,,,,,
,6th,0,"270,901",2020,MN,,,,,,,,,,,,,,,,,,,,,
,7th,"144,840","194,066",2020,MN,,,,,,,,,,,,,,,,,,,,,
,8th,0,"223,432",2020,MN,,,,,,,,,,,,,,,,,,,,,
,,"1,097,777","1,474,820",2020,MN,,,,,,,,,,,,,,,,,,,,,
,,"1,566,522","1,398,145",2020,MN,,,,,,,,,,,,,,,,,,,,,
,,"1,717,077","1,484,065",2020,MN,,,,,,,,,,,,,,,,,,,,,
,1st,"104,008","228,787",2020,MS,,,,,,,,,,,,,,,,,,,,,
,2d,"196,224","101,010",2020,MS,,,,,,,,,,,,,,,,,,,,,
,3d,"120,782","221,064",2020,MS,,,,,,,,,,,,,,,,,,,,,
,4th,0,"255,971",2020,MS,,,,,,,,,,,,,,,,,,,,,
,,"421,014","806,832",2020,MS,,,,,,,,,,,,,,,,,,,,,
,,"578,691","709,511",2020,MS,,,,,,,,,,,,,,,,,,,,,
,,"539,508","756,789",2020,MS,,,,,,,,,,,,,,,,,,,,,
,1st,"249,087","59,940",2020,MO,,,,,,,,,,,,,,,,,,,,,
,2d,"204,540","233,157",2020,MO,,,,,,,,,,,,,,,,,,,,,
,3d,"116,095","282,866",2020,MO,,,,,,,,,,,,,,,,,,,,,
,4th,"107,635","245,247",2020,MO,,,,,,,,,,,,,,,,,,,,,
,5th,"207,180","135,934",2020,MO,,,,,,,,,,,,,,,,,,,,,
,6th,"118,926","258,709",2020,MO,,,,,,,,,,,,,,,,,,,,,
,7th,"98,111","254,318",2020,MO,,,,,,,,,,,,,,,,,,,,,
,8th,"70,561","253,811",2020,MO,,,,,,,,,,,,,,,,,,,,,
,,"1,172,135","1,723,982",2020,MO,,,,,,,,,,,,,,,,,,,,,
,,"1,253,014","1,718,736",2020,MO,,,,,,,,,,,,,,,,,,,,,
